0403487407,NCGC00856413-01,10mM,384-1,33,A03
0344126360,NCGC00856414-01,10mM,384-1,35,C03
0344126344,NCGC00856415-01,10mM,384-1,37,E03
0344126698,NCGC00856416-01,10mM,384-1,39,G03
0344126741,NCGC00856417-01,10mM,384-1,41,I03
0344126390,NCGC00856412-01,10mM,384-1,43,K03
0344125286,NCGC00856447-01,10mM,384-1,45,M03
0403487402,NCGC00856445-01,10mM,384-1,47,O03
0403487396,NCGC00856440-01,10mM,384-1,34,B03
0403487418,NCGC00856435-01,10mM,384-1,36,D03
0403487415,NCGC00856581-01,10mM,384-1,38,F03
0403487423,NCGC00856436-01,10mM,384-1,40,H03
0344125262,NCGC00856531-01,10mM,384-1,42,J03
0344125302,NCGC00856443-01,10mM,384-1,44,L03
0344125294,NCGC00856438-01,10mM,384-1,46,N03
0403487410,NCGC00856441-01,10mM,384-1,48,P03
0403487394,NCGC00685598-02,10mM,384-1,209,A14
0403487403,NCGC00856576-01,10mM,384-1,211,C14
0403487404,NCGC00856442-01,10mM,384-1,213,E14
0403488140,NCGC00856446-01,10mM,384-1,215,G14
0344125292,NCGC00856533-01,10mM,384-1,217,I14
0344124849,NCGC00856537-01,10mM,384-1,219,K14
0344125722,NCGC00856537-02,10mM,384-1,221,M14
0344125763,NCGC00856543-01,10mM,384-1,223,O14
0344124857,NCGC00856545-01,10mM,384-1,210,B14
0344126739,NCGC00856556-01,10mM,384-1,212,D14
0344126690,NCGC00856547-01,10mM,384-1,214,F14
0344120147,NCGC00856551-01,10mM,384-1,216,H14
0344126669,NCGC00856564-01,10mM,384-1,218,J14
0344126685,NCGC00856552-01,10mM,384-1,220,L14
0344126661,NCGC00856565-01,10mM,384-1,222,N14
0344126750,NCGC00856578-01,10mM,384-1,224,P14
0344126733,NCGC00856566-01,10mM,384-2,33,A03
0222258524,NCGC00591097-01,10mM,384-2,35,C03
0331626984,NCGC00655579-01,10mM,384-2,37,E03
0344145806,NCGC00856554-01,10mM,384-2,39,G03
0344126352,NCGC00856579-01,10mM,384-2,41,I03
0344126273,NCGC00856558-01,10mM,384-2,43,K03
0344119004,NCGC00856560-01,10mM,384-2,45,M03
0344118996,NCGC00856563-01,10mM,384-2,47,O03
0344119012,NCGC00856561-01,10mM,384-2,34,B03
0344126749,NCGC00856562-01,10mM,384-2,36,D03
0344126660,NCGC00856580-01,10mM,384-2,38,F03
0403487244,NCGC00856567-01,10mM,384-2,40,H03
0222256551,NCGC00601665-01,10mM,384-2,42,J03
0050683140,NCGC00125704-01,10mM,384-2,44,L03
0344091542,NCGC00685695-01,10mM,384-2,46,N03
0344073961,NCGC00689823-01,10mM,384-2,48,P03
0344073583,NCGC00689777-01,10mM,384-2,209,A14
0344074035,NCGC00689775-01,10mM,384-2,211,C14
0344117163,NCGC00689055-01,10mM,384-2,213,E14
0344076117,NCGC00685598-01,10mM,384-2,215,G14
0222259311,NCGC00602080-01,10mM,384-2,217,I14
0344073632,NCGC00689586-01,10mM,384-2,219,K14
0222244124,NCGC00159462-20,10mM,384-2,221,M14
0197555602,NCGC00508961-01,10mM,384-2,223,O14
0222257421,NCGC00599959-01,10mM,384-2,210,B14
0222258025,NCGC00600052-01,10mM,384-2,212,D14
0344073567,NCGC00689776-01,10mM,384-2,214,F14
0222255536,NCGC00538447-01,10mM,384-2,216,H14
0344093828,NCGC00602080-07,10mM,384-2,218,J14
0344076111,NCGC00685517-01,10mM,384-2,220,L14
0344074208,NCGC00686594-01,10mM,384-2,222,N14
0344073907,NCGC00687630-01,10mM,384-2,224,P14
0344073940,NCGC00687751-01,10mM,384-3,33,A03
0344073899,NCGC00687632-01,10mM,384-3,35,C03
0344074190,NCGC00686605-01,10mM,384-3,37,E03
0344073892,NCGC00687738-01,10mM,384-3,39,G03
0344073893,NCGC00687754-01,10mM,384-3,41,I03
0344073877,NCGC00687739-01,10mM,384-3,43,K03
0344073885,NCGC00687746-01,10mM,384-3,45,M03
0344117174,NCGC00687815-01,10mM,384-3,47,O03
0344117429,NCGC00689056-01,10mM,384-3,34,B03
0344073599,NCGC00689772-01,10mM,384-3,36,D03
0344117344,NCGC00689504-01,10mM,384-3,38,F03
0344073591,NCGC00689774-01,10mM,384-3,40,H03
0344145709,NCGC00689818-01,10mM,384-3,42,J03
0344145756,NCGC00689820-01,10mM,384-3,44,L03
0403487454,NCGC00856444-01,10mM,384-3,46,N03
0344125270,NCGC00856530-01,10mM,384-3,48,P03
0344125276,NCGC00856536-01,10mM,384-3,209,A14
