List of 165 lines in spectrum 1 to spectrum 10
line         frequency (Hz)
   1             0.904
   2             0.906
   3             0.909
   4             0.921
   5             0.924
   6             0.926
   7             0.939
   8             0.941
   9             0.944
  10             1.220
  11             1.223
  12             1.225
  13             1.287
  14             1.289
  15             1.292
  16             1.553
  17             1.556
  18             1.558
  19             2.083
  20             2.085
  21             2.088
  22             2.090
  23             2.092
  24             2.094
  25             2.483
  26             2.485
  27             2.487
  28             2.495
  29             2.497
  30             2.499
  31             2.710
  32             2.712
  33             2.715
  34             2.716
  35             2.718
  36             2.720
  37             2.722
  38             2.725
  39             2.727
  40             2.870
  41             2.872
  42             2.874
  43             2.875
  44             2.877
  45             2.879
  46             2.881
  47             2.883
  48             2.885
  49             3.261
  50             3.263
  51             3.265
  52             3.274
  53             3.276
  54             3.278
  55             3.328
  56             3.330
  57             3.333
  58             3.331
  59             3.334
  60             3.336
  61             3.333
  62             3.335
  63             3.337
  64             3.334
  65             3.336
  66             3.338
  67             3.335
  68             3.337
  69             3.340
  70             3.337
  71             3.339
  72             3.342
  73             3.339
  74             3.341
  75             3.344
  76             3.352
  77             3.354
  78             3.357
  79             3.687
  80             3.690
  81             3.692
  82             3.714
  83             3.716
  84             3.719
  85             3.729
  86             3.731
  87             3.734
  88             3.733
  89             3.736
  90             3.738
  91             3.739
  92             3.742
  93             3.744
  94             3.852
  95             3.854
  96             3.857
  97             4.391
  98             4.393
  99             4.396
 100             4.475
 101             4.478
 102             4.480
 103             4.482
 104             4.485
 105             4.487
 106             4.576
 107             4.578
 108             4.581
 109             4.583
 110             4.585
 111             4.587
 112             6.837
 113             6.840
 114             6.842
 115             6.898
 116             6.900
 117             6.902
 118             6.904
 119             6.906
 120             6.909
 121             6.920
 122             6.922
 123             6.924
 124             6.925
 125             6.928
 126             6.930
 127             7.152
 128             7.154
 129             7.157
 130             7.174
 131             7.176
 132             7.179
 133             7.271
 134             7.273
 135             7.275
 136             7.280
 137             7.282
 138             7.285
 139             7.293
 140             7.295
 141             7.298
 142             7.537
 143             7.539
 144             7.542
 145             7.549
 146             7.551
 147             7.554
 148             7.560
 149             7.562
 150             7.564
 151             7.690
 152             7.692
 153             7.694
 154             7.702
 155             7.704
 156             7.706
 157             7.712
 158             7.714
 159             7.717
 160             7.935
 161             7.937
 162             7.939
 163             7.940
 164             7.943
 165             7.945
line    spectrum    amplitude (mm)
   1           1      0.27552
   1           2      0.15700
   1           3      0.09146
   1           4      0.05503
   1           5      0.03236
   1           6      0.02048
   1           7      0.01197
   1           8      0.00718
   1           9      0.00423
   1          10      0.00250
   2           1      0.72439
   2           2      0.41279
   2           3      0.24048
   2           4      0.14469
   2           5      0.08509
   2           6      0.05385
   2           7      0.03148
   2           8      0.01887
   2           9      0.01113
   2          10      0.00657
   3           1      0.00010
   3           2      0.00006
   3           3      0.00003
   3           4      0.00002
   3           5      0.00001
   3           6      0.00001
   3           7      0.00000
   3           8      0.00000
   3           9      0.00000
   3          10      0.00000
   4           1      0.07944
   4           2      0.06493
   4           3      0.05325
   4           4      0.04356
   4           5      0.03568
   4           6      0.02882
   4           7      0.02349
   4           8      0.01925
   4           9      0.01567
   4          10      0.01285
   5           1      0.20886
   5           2      0.17071
   5           3      0.14000
   5           4      0.11453
   5           5      0.09380
   5           6      0.07578
   5           7      0.06176
   5           8      0.05061
   5           9      0.04119
   5          10      0.03377
   6           1      0.00003
   6           2      0.00002
   6           3      0.00002
   6           4      0.00002
   6           5      0.00001
   6           6      0.00001
   6           7      0.00001
   6           8      0.00001
   6           9      0.00001
   6          10      0.00000
   7           1      0.14009
   7           2      0.09200
   7           3      0.06050
   7           4      0.03989
   7           5      0.02620
   7           6      0.01718
   7           7      0.01121
   7           8      0.00744
   7           9      0.00486
   7          10      0.00320
   8           1      0.36834
   8           2      0.24187
   8           3      0.15907
   8           4      0.10488
   8           5      0.06889
   8           6      0.04516
   8           7      0.02948
   8           8      0.01955
   8           9      0.01277
   8          10      0.00841
   9           1      0.00005
   9           2      0.00003
   9           3      0.00002
   9           4      0.00001
   9           5      0.00001
   9           6      0.00001
   9           7      0.00000
   9           8      0.00000
   9           9      0.00000
   9          10      0.00000
  10           1      0.08584
  10           2      0.07057
  10           3      0.05770
  10           4      0.04721
  10           5      0.03855
  10           6      0.03147
  10           7      0.02564
  10           8      0.02113
  10           9      0.01722
  10          10      0.01409
  11           1      0.22569
  11           2      0.18553
  11           3      0.15171
  11           4      0.12413
  11           5      0.10135
  11           6      0.08274
  11           7      0.06742
  11           8      0.05555
  11           9      0.04526
  11          10      0.03705
  12           1      0.00003
  12           2      0.00002
  12           3      0.00002
  12           4      0.00002
  12           5      0.00001
  12           6      0.00001
  12           7      0.00001
  12           8      0.00001
  12           9      0.00001
  12          10      0.00000
  13           1      0.07830
  13           2      0.06463
  13           3      0.05285
  13           4      0.04311
  13           5      0.03544
  13           6      0.02857
  13           7      0.02340
  13           8      0.01922
  13           9      0.01559
  13          10      0.01268
  14           1      0.20586
  14           2      0.16993
  14           3      0.13895
  14           4      0.11334
  14           5      0.09319
  14           6      0.07511
  14           7      0.06153
  14           8      0.05053
  14           9      0.04099
  14          10      0.03334
  15           1      0.00003
  15           2      0.00002
  15           3      0.00002
  15           4      0.00002
  15           5      0.00001
  15           6      0.00001
  15           7      0.00001
  15           8      0.00001
  15           9      0.00001
  15          10      0.00000
  16           1      0.12182
  16           2      0.07980
  16           3      0.05232
  16           4      0.03450
  16           5      0.02268
  16           6      0.01477
  16           7      0.00976
  16           8      0.00659
  16           9      0.00432
  16          10      0.00288
  17           1      0.32030
  17           2      0.20982
  17           3      0.13756
  17           4      0.09072
  17           5      0.05963
  17           6      0.03883
  17           7      0.02565
  17           8      0.01734
  17           9      0.01135
  17          10      0.00757
  18           1      0.00004
  18           2      0.00003
  18           3      0.00002
  18           4      0.00001
  18           5      0.00001
  18           6      0.00001
  18           7      0.00000
  18           8      0.00000
  18           9      0.00000
  18          10      0.00000
  19           1      0.02336
  19           2      0.01919
  19           3      0.01580
  19           4      0.01291
  19           5      0.01054
  19           6      0.00853
  19           7      0.00705
  19           8      0.00575
  19           9      0.00477
  19          10      0.00392
  20           1      0.06142
  20           2      0.05045
  20           3      0.04153
  20           4      0.03395
  20           5      0.02770
  20           6      0.02242
  20           7      0.01853
  20           8      0.01510
  20           9      0.01253
  20          10      0.01030
  21           1      0.00001
  21           2      0.00001
  21           3      0.00001
  21           4      0.00000
  21           5      0.00000
  21           6      0.00000
  21           7      0.00000
  21           8      0.00000
  21           9      0.00000
  21          10      0.00000
  22           1      0.03165
  22           2      0.02604
  22           3      0.02135
  22           4      0.01745
  22           5      0.01421
  22           6      0.01157
  22           7      0.00942
  22           8      0.00787
  22           9      0.00655
  22          10      0.00521
  23           1      0.08321
  23           2      0.06847
  23           3      0.05614
  23           4      0.04588
  23           5      0.03736
  23           6      0.03041
  23           7      0.02478
  23           8      0.02069
  23           9      0.01723
  23          10      0.01370
  24           1      0.00001
  24           2      0.00001
  24           3      0.00001
  24           4      0.00001
  24           5      0.00000
  24           6      0.00000
  24           7      0.00000
  24           8      0.00000
  24           9      0.00000
  24          10      0.00000
  25           1      0.04112
  25           2      0.03395
  25           3      0.02802
  25           4      0.02301
  25           5      0.01895
  25           6      0.01533
  25           7      0.01253
  25           8      0.01018
  25           9      0.00853
  25          10      0.00698
  26           1      0.10811
  26           2      0.08926
  26           3      0.07366
  26           4      0.06050
  26           5      0.04982
  26           6      0.04032
  26           7      0.03295
  26           8      0.02675
  26           9      0.02244
  26          10      0.01834
  27           1      0.00001
  27           2      0.00001
  27           3      0.00001
  27           4      0.00001
  27           5      0.00001
  27           6      0.00001
  27           7      0.00000
  27           8      0.00000
  27           9      0.00000
  27          10      0.00000
  28           1      0.04084
  28           2      0.03372
  28           3      0.02763
  28           4      0.02279
  28           5      0.01866
  28           6      0.01496
  28           7      0.01234
  28           8      0.01015
  28           9      0.00836
  28          10      0.00683
  29           1      0.10738
  29           2      0.08866
  29           3      0.07264
  29           4      0.05993
  29           5      0.04906
  29           6      0.03932
  29           7      0.03245
  29           8      0.02668
  29           9      0.02198
  29          10      0.01795
  30           1      0.00001
  30           2      0.00001
  30           3      0.00001
  30           4      0.00001
  30           5      0.00001
  30           6      0.00001
